Дата,Новые комментарии,Поделились,"Процент отметок ""Нравится"" (%)","Отметки ""Не нравится""","Отметки ""Нравится""",Отказались от подписки,Новые подписчики,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Просмотры,Время просмотра (часы),Средняя продолжительность просмотра
2022-10-13,3.0,7.0,93.75,1.0,15.0,3.0,8.0,166.0,489.0,1.5802,655.0,5.93,8994.0,5.0,19.06,1035.0,30.1706,0.029150338164251208
2022-10-12,0.0,9.0,94.74,1.0,18.0,1.0,8.0,225.0,511.0,1.8723,736.0,5.4,11828.0,7.0,30.75,1378.0,65.7362,0.04770406386066763
2022-10-11,0.0,9.0,100.0,0.0,15.0,4.0,9.0,247.0,553.0,1.7675,800.0,5.94,10937.0,5.0,26.67,1414.0,56.5463,0.039990311173974544
2022-10-10,0.0,8.0,87.5,2.0,14.0,0.0,9.0,206.0,571.0,1.7503,777.0,6.27,10289.0,9.0,28.57,1360.0,57.6539,0.04239257352941177
2022-10-09,2.0,8.0,90.48,2.0,19.0,1.0,6.0,244.0,631.0,1.7257,875.0,6.02,12077.0,5.0,25.42,1510.0,56.377,0.03733576158940397
2022-10-08,0.0,3.0,100.0,0.0,9.0,0.0,6.0,128.0,261.0,1.4756,389.0,5.93,4992.0,6.0,23.54,574.0,21.0178,0.036616376306620214
2022-10-07,0.0,8.0,83.33,1.0,5.0,0.0,6.0,97.0,342.0,1.7016,439.0,5.59,7000.0,6.0,27.08,747.0,30.6578,0.041041231593038824
2022-10-06,1.0,2.0,84.62,2.0,11.0,0.0,3.0,179.0,441.0,1.5242,620.0,6.06,7679.0,3.0,23.88,945.0,34.9532,0.03698751322751323
2022-10-05,1.0,7.0,94.29,2.0,33.0,6.0,7.0,197.0,511.0,1.7175,708.0,6.45,8983.0,1.0,27.28,1216.0,48.2211,0.039655509868421056
2022-10-04,0.0,12.0,100.0,0.0,26.0,2.0,4.0,187.0,493.0,1.7279,680.0,5.98,9369.0,2.0,27.41,1175.0,47.1722,0.04014655319148936
